price,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,state,car_age,log_odometer
33590,gmc,sierra 1500 crew cab slt,good,8 cylinders,gas,other,unknown,pickup,al,11.0,10.966887085448493
22590,chevrolet,silverado 1500,good,8 cylinders,gas,other,unknown,pickup,al,15.0,11.1736693569724
39590,chevrolet,silverado 1500 crew,good,8 cylinders,gas,other,unknown,pickup,al,5.0,9.860632242229698
30990,toyota,tundra double cab sr,good,8 cylinders,gas,other,unknown,pickup,al,8.0,10.624371488067673
15000,ford,f-150 xlt,excellent,6 cylinders,gas,automatic,rwd,truck,al,12.0,11.759793355371237
27990,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,other,4wd,pickup,al,13.0,11.137460809134689
34590,chevrolet,silverado 1500 double,good,6 cylinders,gas,other,4wd,pickup,al,9.0,10.292145542327912
35000,toyota,tacoma,excellent,6 cylinders,gas,automatic,4wd,truck,al,6.0,10.668978650219241
29990,chevrolet,colorado extended cab,good,6 cylinders,gas,other,4wd,pickup,al,9.0,9.758635175856648
38590,chevrolet,corvette grand sport,good,8 cylinders,gas,other,rwd,other,al,14.0,10.316854690540147
4500,jeep,cherokee,excellent,6 cylinders,gas,automatic,4wd,unknown,al,33.0,12.165255859329688
32990,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,4wd,other,al,8.0,10.310351681558
24590,chevrolet,silverado 1500 regular,good,6 cylinders,gas,other,unknown,pickup,al,8.0,10.616069645734681
30990,chevrolet,colorado crew cab z71,good,unknown,other,other,4wd,pickup,al,9.0,10.461416203770762
27990,toyota,tacoma access cab pickup,good,unknown,other,other,unknown,pickup,al,11.0,9.787290758133617
37990,chevrolet,camaro ss coupe 2d,good,8 cylinders,gas,other,rwd,coupe,al,9.0,9.18039649560311
33590,toyota,tundra crewmax sr5 pickup,good,unknown,other,other,unknown,pickup,al,11.0,10.91965981781985
30990,ford,ranger supercrew xl pickup,good,unknown,other,other,unknown,pickup,al,6.0,7.51479976048867
27990,nissan,frontier crew cab pro-4x,good,6 cylinders,gas,other,4wd,pickup,al,7.0,10.527632932997834
34590,ford,f150 super cab xl pickup 4d,good,6 cylinders,gas,other,unknown,pickup,al,7.0,9.945444902296636
30590,toyota,tacoma double cab sr5,good,unknown,other,other,unknown,pickup,al,9.0,10.314835323802448
32990,jeep,wrangler sport suv 2d,good,unknown,gas,other,4wd,SUV,al,5.0,9.932172186396038
38990,ford,f150 supercrew cab xlt,good,6 cylinders,gas,other,unknown,pickup,al,5.0,9.411810747608898
22590,ram,1500 regular cab tradesman,good,8 cylinders,gas,other,unknown,pickup,al,8.0,10.584283773037043
31590,mazda,mx-5 miata club,good,unknown,gas,other,rwd,other,al,5.0,7.694392802629421
27990,ford,ranger supercab xl pickup,good,unknown,gas,other,unknown,pickup,al,5.0,9.276970454273945
31590,cadillac,xt4 sport suv 4d,good,unknown,other,other,fwd,hatchback,al,6.0,9.401208634738603
19900,ford,f250 super duty,good,8 cylinders,diesel,automatic,4wd,pickup,al,21.0,11.385103457032141
16590,jeep,renegade sport suv 4d,good,unknown,gas,other,4wd,other,al,9.0,10.486708253717469
26990,ford,f150 regular cab xl pickup,good,6 cylinders,gas,other,unknown,pickup,al,9.0,9.56317796268366
25590,gmc,sierra 1500 regular cab,good,6 cylinders,other,other,unknown,pickup,al,10.0,10.471383252907115
14000,honda,odyssey,excellent,6 cylinders,gas,automatic,fwd,mini-van,al,13.0,11.461642696843066
28590,ram,1500 quad cab express pickup,good,6 cylinders,other,other,unknown,pickup,al,7.0,10.31055138200799
24590,gmc,sierra 1500 extended cab slt,good,8 cylinders,other,other,unknown,pickup,al,12.0,11.293761484648849
25990,ram,1500 classic regular cab,good,8 cylinders,gas,other,unknown,pickup,al,6.0,9.41759841406017
34990,ford,mustang gt premium,good,8 cylinders,gas,other,rwd,other,al,7.0,9.833655042937448
27990,chevrolet,colorado extended cab,good,unknown,gas,other,unknown,pickup,al,8.0,10.004282662571022
22500,ford,f450,good,8 cylinders,diesel,manual,rwd,truck,al,24.0,11.88242482344573
32990,chevrolet,silverado 1500 ld,good,unknown,other,other,unknown,pickup,al,6.0,8.838986793496787
31990,toyota,tundra double cab pickup,good,8 cylinders,gas,other,4wd,pickup,al,12.0,10.916342223384556
29990,chevrolet,silverado 1500 double,good,8 cylinders,gas,other,4wd,pickup,al,11.0,10.170839358514659
23990,chevrolet,silverado 1500 regular,good,6 cylinders,gas,other,unknown,pickup,al,9.0,10.63510997614786
22990,toyota,tacoma access cab pickup,good,unknown,gas,other,unknown,pickup,al,13.0,10.53810479090567
26990,chevrolet,silverado 1500 crew,good,6 cylinders,gas,automatic,unknown,pickup,al,11.0,11.05295137136167
33990,jeep,wrangler unlimited sahara,good,6 cylinders,other,other,4wd,SUV,al,8.0,10.438605708871151
15000,dodge,charger rt 4dr sedan,excellent,8 cylinders,gas,automatic,rwd,sedan,al,8.0,11.407576060361786
26590,honda,civic si coupe 2d,good,unknown,gas,other,fwd,coupe,al,5.0,9.205830216498297
18590,honda,civic lx sedan 4d,good,unknown,gas,other,fwd,sedan,al,7.0,10.273083657563381
29590,ford,expedition xlt sport,good,6 cylinders,gas,other,4wd,SUV,al,8.0,11.167063280451986
21590,honda,civic ex sedan 4d,good,unknown,gas,other,fwd,sedan,al,7.0,8.972844314437573
22590,ford,f150 super cab xl pickup 4d,good,6 cylinders,other,other,unknown,pickup,al,12.0,9.558882332684727
33990,jeep,wrangler sport suv 2d,good,6 cylinders,gas,other,4wd,other,al,5.0,9.19624144759668
29990,toyota,tacoma double cab pickup,good,6 cylinders,gas,other,4wd,pickup,al,13.0,10.673202178264951
37590,ford,f150 supercrew cab xl,good,6 cylinders,gas,other,unknown,pickup,al,6.0,9.066931788680826
25990,lexus,nx 300h sport utility 4d,good,unknown,other,other,unknown,hatchback,al,10.0,10.929242368900846
32990,jaguar,e-pace p250 s sport,good,unknown,other,other,unknown,other,al,7.0,10.191894362302365
28990,buick,encore gx essence sport,good,unknown,gas,other,unknown,other,al,5.0,3.091042453358316
34990,lexus,nx 300 sport utility 4d,good,unknown,gas,other,fwd,hatchback,al,5.0,7.45182223652793
3000,chrysler,town & country,good,6 cylinders,gas,automatic,fwd,mini-van,al,21.0,12.079062798467291
22590,volvo,s60 t5 cross country,good,unknown,gas,other,unknown,sedan,al,9.0,10.663264815393836
36990,volvo,s60 t6 inscription sedan,good,unknown,gas,other,unknown,sedan,al,6.0,9.004791129062925
31990,volvo,s60 t5 momentum sedan 4d,good,unknown,gas,other,fwd,sedan,al,5.0,9.716856724154075
28590,volvo,s60 t5 momentum sedan 4d,good,unknown,gas,other,fwd,sedan,al,6.0,9.827254246536539
31990,audi,q5 premium sport utility 4d,good,unknown,gas,other,unknown,other,al,7.0,9.86162334843743
19990,infiniti,qx60 3.5 sport utility,good,unknown,other,other,unknown,SUV,al,10.0,11.472145136248608
29590,lincoln,continental select sedan,good,6 cylinders,gas,other,unknown,sedan,al,8.0,10.472232966887885
29990,alfa-romeo,romeo stelvio ti sport,good,unknown,other,other,unknown,hatchback,al,7.0,10.202814064582626
2100,subaru,impreza,fair,4 cylinders,gas,automatic,unknown,hatchback,al,19.0,11.48247656671073
15990,,Scion iM Hatchback 4D,good,unknown,gas,other,fwd,hatchback,al,9.0,10.297318579745925
20590,acura,mdx sport utility 4d,good,6 cylinders,gas,other,unknown,other,al,12.0,11.252702905414598
29590,audi,a6 2.0t premium sedan 4d,good,unknown,gas,other,fwd,sedan,al,7.0,9.475470039957452
16590,hyundai,sonata sport sedan 4d,good,unknown,gas,other,fwd,sedan,al,10.0,10.19076954496657
33990,ram,1500 crew cab tradesman,good,8 cylinders,gas,other,4wd,pickup,al,8.0,9.742966625701026
36590,gmc,sierra 1500 limited double,good,8 cylinders,gas,other,4wd,pickup,al,6.0,9.562615651570228
29590,gmc,sierra 1500 extended cab slt,good,8 cylinders,gas,other,unknown,pickup,al,12.0,10.542416111476454
40590,ford,f250 super duty regular cab,good,8 cylinders,other,other,4wd,pickup,al,6.0,9.139273923542323
33990,jeep,wrangler unlimited willys,good,6 cylinders,gas,other,4wd,other,al,7.0,10.452677753845103
43990,jeep,wrangler unlimited sahara,good,unknown,gas,other,4wd,SUV,al,6.0,8.38091517312361
38990,jeep,wrangler unlimited rubicon,good,6 cylinders,gas,other,4wd,other,al,8.0,9.93677725040077
39590,jeep,wrangler unlimited all new,good,6 cylinders,gas,other,4wd,SUV,al,7.0,9.993967905664503
9500,chrysler,town & country,excellent,6 cylinders,gas,automatic,fwd,mini-van,al,22.0,10.321441022096653
28590,gmc,acadia sle-2 sport utility,good,6 cylinders,gas,other,fwd,SUV,al,7.0,9.93967482329784
16590,lincoln,mkz sedan 4d,good,unknown,gas,other,fwd,sedan,al,12.0,11.020070726525475
28990,gmc,acadia slt-1 sport utility,good,6 cylinders,gas,other,fwd,SUV,al,8.0,9.800457652216584
20590,lincoln,mkz premiere sedan 4d,good,unknown,gas,other,fwd,sedan,al,8.0,10.50334002087177
26990,lexus,nx 200t sport utility 4d,good,unknown,gas,other,fwd,hatchback,al,10.0,10.300214594701007
26990,lexus,nx 200t sport utility 4d,good,unknown,gas,other,fwd,hatchback,al,9.0,10.353416017350813
